자산 결합 강도 TXT 리포트
================================
생성 시각: 11/3/2025, 00:07:50
데이터 기준일: 2025-10-31
윈도우: 30일 | 표시 범위: 맞춤 1398일 | 레짐 모드: FLL-Fusion
※ 결합 강도는 시장이 얼마나 동조화되어 있는지를 알려주는 맥락 지표이며, 실제 Risk-On/Off 판단은 모멘텀·Guard·Safe-NEG가 결합된 레짐 점수가 담당합니다. 값이 높을수록 자금이 한 방향으로 쏠린 것이므로 Guard·히트맵을 함께 확인하세요.

[범위 요약]
- 표본 구간: 2022-01-03 ~ 2025-10-31 (962일)
- 사용자 선택: 2022-01-03 ~ 2025-10-31

[0. 산출 로직 및 근거]
- Stability Index = Σ w(i,j)·|corr(i,j)| ÷ Σ w(i,j), 대상 자산: IWM, SPY, TLT, GLD, BTC-USD, 주식-채권 쌍에 더 큰 가중을 적용합니다.
- 하위 지수: (a) 주식-암호화폐(+) = |corr(IWM/SPY, BTC)| 평균, (b) 전통자산(+) = |corr(IWM, SPY, TLT, GLD)| 평균, (c) Safe-NEG(-) = max(0, -corr(주식, TLT/GLD)) 평균.
- Classic Risk Score = 0.70·max(0, corr(IWM, BTC)) + 0.30·Safe-NEG. corr ≥ 0.50 또는 Score ≥ 0.65 → Risk-On, corr ≤ -0.05 또는 Score ≤ 0.30 → Risk-Off.
- Enhanced Mode = Classic Score + 10일 공동 모멘텀(IWM & BTC) + 5일 리스크 폭(IWM·SPY·BTC 상승비중) + Absorption/안정성 Guard. Guard ≥ 0.9 또는 Combo ≤ 0%면 On이 차단됩니다.
- FFL Mode = Classic 점수에 Safe↔Risk 플럭스(J_norm), Flux Intensity, FAR, Guard를 조합한 Classic+Flux 레짐입니다.
- FFL+EXP Mode = Classic(현재 레짐) + Flux(J_norm, 전환 감지) + Stability(시장 결합도, EMA/레벨) 3요소를 단순 결합합니다. 다수결로 On/Off를 결정(동률이면 Flux 우선), 점수는 세 값을 단순 평균합니다. 별도 수식은 추가하지 않습니다.
- 기본 동작은 Classic이며 사용자가 명시적으로 변경한 경우에만 Enhanced/FFL이 적용됩니다.
- 레짐 포지션: Risk-On = TQQQ 100%, Neutral = TQQQ 33%, Risk-Off = 현금. 모든 신호는 T+1 시초가 기준으로 집행됩니다.
- 히트맵과 Absorption Ratio는 30일 롤링 상관행렬·1차 고유값 비중으로 계산하며, 동일 데이터가 레짐 Guard에도 쓰입니다.
- 지수 추이 표는 신호 주지수(IWM)와 벤치마크(QQQ)의 종가/일간 수익률을 그대로 나열해 백테스트 결과를 재현할 수 있도록 합니다.

[1. 자산 결합 강도 (Stability Index)]
- 최신 Stability: 0.340 | Smoothed(EMA10): 0.358 | Delta(3-10): -0.009
- 180일 평균: 0.288 | 관측 범위: 2022-01-03 ~ 2025-10-31 (맞춤 1398일)
날짜	Stability	Smoothed	Delta(3-10)
2022-01-03	0.348	0.332	+0.014
2022-01-04	0.356	0.336	+0.015
2022-01-05	0.351	0.339	+0.012
2022-01-06	0.346	0.340	+0.008
2022-01-07	0.354	0.343	+0.009
2022-01-10	0.310	0.337	-0.006
2022-01-11	0.300	0.330	-0.015
2022-01-12	0.285	0.322	-0.022
2022-01-13	0.293	0.317	-0.020
2022-01-14	0.307	0.315	-0.013
2022-01-18	0.262	0.305	-0.023
2022-01-19	0.268	0.299	-0.023
2022-01-20	0.271	0.294	-0.021
2022-01-21	0.302	0.295	-0.008
2022-01-24	0.297	0.295	-0.003
2022-01-25	0.292	0.295	-0.003
2022-01-26	0.285	0.293	-0.004
2022-01-27	0.289	0.292	-0.003
2022-01-28	0.253	0.285	-0.014
2022-01-31	0.286	0.285	-0.007
2022-02-01	0.292	0.286	-0.001
2022-02-02	0.291	0.287	+0.001
2022-02-03	0.265	0.283	-0.007
2022-02-04	0.272	0.281	-0.007
2022-02-07	0.262	0.278	-0.009
2022-02-08	0.275	0.277	-0.006
2022-02-09	0.273	0.277	-0.004
2022-02-10	0.260	0.273	-0.008
2022-02-11	0.259	0.271	-0.008
2022-02-14	0.257	0.268	-0.009
2022-02-15	0.249	0.265	-0.010
2022-02-16	0.250	0.262	-0.010
2022-02-17	0.284	0.266	+0.002
2022-02-18	0.296	0.272	+0.010
2022-02-22	0.305	0.278	+0.016
2022-02-23	0.285	0.279	+0.010
2022-02-24	0.296	0.282	+0.011
2022-02-25	0.300	0.285	+0.011
2022-02-28	0.261	0.281	-0.002
2022-03-01	0.271	0.279	-0.004
2022-03-02	0.342	0.291	+0.018
2022-03-03	0.336	0.299	+0.023
2022-03-04	0.367	0.311	+0.033
2022-03-07	0.360	0.320	+0.032
2022-03-08	0.337	0.323	+0.022
2022-03-09	0.394	0.336	+0.033
2022-03-10	0.402	0.348	+0.038
2022-03-11	0.414	0.360	+0.040
2022-03-14	0.385	0.365	+0.028
2022-03-15	0.390	0.369	+0.022
2022-03-16	0.361	0.368	+0.008
2022-03-17	0.364	0.367	+0.003
2022-03-18	0.370	0.368	+0.003
2022-03-21	0.364	0.367	+0.000
2022-03-22	0.376	0.369	+0.003
2022-03-23	0.393	0.373	+0.009
2022-03-24	0.397	0.377	+0.012
2022-03-25	0.418	0.385	+0.019
2022-03-28	0.395	0.387	+0.013
2022-03-29	0.386	0.387	+0.006
2022-03-30	0.377	0.385	-0.000
2022-03-31	0.378	0.384	-0.002
2022-04-01	0.355	0.378	-0.010
2022-04-04	0.352	0.374	-0.014
2022-04-05	0.322	0.364	-0.023
2022-04-06	0.330	0.358	-0.022
2022-04-07	0.328	0.353	-0.021
2022-04-08	0.330	0.348	-0.018
2022-04-11	0.333	0.346	-0.014
2022-04-12	0.317	0.340	-0.016
2022-04-13	0.332	0.339	-0.011
2022-04-14	0.349	0.341	-0.002
2022-04-18	0.365	0.345	+0.007
2022-04-19	0.354	0.347	+0.006
2022-04-20	0.366	0.350	+0.009
2022-04-21	0.322	0.345	-0.004
2022-04-22	0.301	0.337	-0.016
2022-04-25	0.323	0.335	-0.013
2022-04-26	0.301	0.328	-0.017
2022-04-27	0.289	0.321	-0.021
2022-04-28	0.271	0.312	-0.027
2022-04-29	0.303	0.310	-0.016
2022-05-02	0.287	0.306	-0.016
2022-05-03	0.289	0.303	-0.013
2022-05-04	0.287	0.300	-0.012
2022-05-05	0.371	0.313	+0.017
2022-05-06	0.372	0.324	+0.027
2022-05-09	0.335	0.326	+0.017
2022-05-10	0.352	0.331	+0.017
2022-05-11	0.304	0.326	+0.000
2022-05-12	0.299	0.321	-0.009
2022-05-13	0.269	0.311	-0.021
2022-05-16	0.270	0.304	-0.023
2022-05-17	0.254	0.295	-0.028
2022-05-18	0.235	0.284	-0.033
2022-05-19	0.237	0.276	-0.031
2022-05-20	0.234	0.268	-0.029
2022-05-23	0.246	0.264	-0.021
2022-05-24	0.269	0.265	-0.009
2022-05-25	0.265	0.265	-0.005
2022-05-26	0.266	0.265	-0.002
